coc_code,coc_name,state_code,total_2010_population,total_pills_2010,pills_per_person_2010
ak-500,anchorage coc,ak,291826,9320100,31.937181745286576
ak-501,alaska balance of state coc,ak,410946,11512680,28.015067673124936
al-500,"birmingham/jefferson, st. clair, shelby counties coc",al,937144,47685770,50.8841437388491
al-501,mobile city & county/baldwin county coc,al,595257,33433109,56.16583929294406
al-502,florence/northwest alabama coc,al,268440,18812520,70.08091193562808
al-503,huntsville/north alabama coc,al,537083,28774542,53.575596323100896
al-504,montgomery city & county coc,al,389128,15666000,40.25924631483728
al-506,tuscaloosa city & county coc,al,194656,7400900,38.02040522768371
al-507,alabama balance of state coc,al,1524825,81189849,53.24535536864886
ar-500,little rock/central arkansas coc,ar,566937,24502010,43.218223541592806
ar-501,fayetteville/northwest arkansas coc,ar,481170,19846490,41.246316270756694
ar-503,arkansas balance of state coc,ar,850214,43545300,51.21687010564399
ar-504,delta hills coc,ar,362207,18455780,50.953681182307356
ar-505,southeast arkansas coc,ar,319603,13083230,40.93587982590902
ar-512,"boone, baxter, marion, newton counties coc",ar,103399,5455400,52.76066499676012
az-500,arizona balance of state coc,az,1590895,62079440,39.02170790655575
az-501,tucson/pima county coc,az,952569,41702140,43.77860291485446
az-502,"phoenix, mesa/maricopa county coc",az,3820859,139854879,36.6029939864308
ca-500,san jose/santa clara city & county coc,ca,1788601,29208810,16.330534311453476
ca-501,san francisco coc,ca,805235,18149710,22.53964370649562
ca-502,"oakland, berkeley/alameda county coc",ca,1513823,36462790,24.086560978397078
ca-503,sacramento city & county coc,ca,1418788,59977790,42.27396200137019
ca-504,"santa rosa, petaluma/sonoma county coc",ca,483878,18926140,39.113454217798704
ca-505,richmond/contra costa county coc,ca,1049025,33841520,32.2599747384476
ca-506,"salinas/monterey, san benito counties coc",ca,470326,13599350,28.914731484119525
ca-507,marin county coc,ca,252409,7696310,30.4914246322437
ca-508,watsonville/santa cruz city & county coc,ca,262382,9907390,37.75941184989824
ca-509,mendocino county coc,ca,87841,5687360,64.74607529513553
ca-510,"turlock, modesto/stanislaus county coc",ca,514453,30987120,60.23314083113521
ca-511,stockton/san joaquin county coc,ca,685306,27740310,40.47872045480413
ca-512,daly city/san mateo county coc,ca,718451,16789550,23.369095456753488
ca-513,"visalia/kings, tulare counties coc",ca,595161,22443620,37.71016582067709
ca-514,fresno city & county/madera county coc,ca,1081315,36505240,33.76004217087527
ca-515,"roseville, rocklin/placer, nevada counties coc",ca,447196,24391090,54.542281236862586
ca-516,"redding/shasta, siskiyou, lassen, plumas, del norte, modoc, sierra counties coc",ca,318561,28427000,89.23565659324274
ca-517,napa city & county coc,ca,136484,4554600,33.37094457958442
ca-518,vallejo/solano county coc,ca,413344,15877931,38.41335788108694
ca-519,"chico, paradise/butte county coc",ca,220000,19574960,88.9770909090909
ca-520,merced city & county coc,ca,255793,8573330,33.51667168374428
ca-521,"davis, woodland/yolo county coc",ca,200849,6288926,31.31171178347913
ca-522,humboldt county coc,ca,134623,10487680,77.90407285530705
ca-523,"colusa, glenn, trinity counties coc",ca,63327,3701820,58.45563503718793
ca-524,yuba city & county/sutter county coc,ca,166892,11905600,71.3371521702658
ca-525,el dorado county coc,ca,181058,8361760,46.18277016204752
ca-526,"tuolumne, amador, calaveras, mariposa counties coc",ca,157285,11279290,71.7124328448358
ca-527,tehama county coc,ca,63463,4463060,70.32538644564549
ca-529,lake county coc,ca,64665,6989990,108.09541483027913
ca-530,"alpine, inyo, mono counties coc",ca,33923,1016460,29.963741414379623
ca-600,los angeles city & county coc,ca,9023725,167183170.5,18.527068422408707
ca-601,san diego city and county coc,ca,3097946,77617350,25.054455435956598
ca-602,"santa ana, anaheim/orange county coc",ca,3010232,70354980,23.371946082561077
ca-603,santa maria/santa barbara county coc,ca,427161,14598010,34.17449158514003
ca-604,bakersfield/kern county coc,ca,839631,28708960,34.1923535457838
ca-606,long beach coc,ca,467654,11325020,24.216664457055856
ca-607,pasadena coc,ca,133965,2968050,22.15541372746613
ca-608,riverside city & county coc,ca,2189641,63822320,29.14738991460244
ca-609,san bernardino city & county coc,ca,2035210,61208760,30.074911188526
ca-611,"oxnard, san buenaventura/ventura county coc",ca,823318,23109780,28.069081448480418
ca-612,glendale coc,ca,190790,2552840,13.380365847266628
ca-613,imperial county coc,ca,174528,3532730,20.241623120645396
ca-614,san luis obispo county coc,ca,269637,11438240,42.420884374177135
co-500,colorado balance of state coc,co,1622705,59193226,36.47811894336925
co-503,metropolitan denver coc,co,2774553,77035034,27.764845003861883
co-504,colorado springs/el paso county coc,co,622263,19155620,30.783800418793984
ct-503,"bridgeport, stamford, norwalk/fairfield county coc",ct,835936,17533550,20.974751655629138
ct-505,connecticut balance of state coc,ct,2743517,82945814,30.23338801983002
dc-500,district of columbia coc,dc,601723,8745500,14.53409625359177
de-500,delaware statewide coc,de,897934,44971380,50.08316869614025
fl-500,"sarasota, bradenton/manatee, sarasota counties coc",fl,702281,39507980,56.256655099596884
fl-501,tampa/hillsborough county coc,fl,1229226,98699051,80.29365714685501
fl-502,"st. petersburg, clearwater, largo/pinellas county coc",fl,916542,64725900,70.61967700334519
fl-503,"lakeland, winterhaven/polk county coc",fl,602095,21424760,35.58368695969905
fl-504,"daytona beach, daytona/volusia, flagler counties coc",fl,590289,35847190,60.728202626171246
fl-505,"fort walton beach/okaloosa, walton counties coc",fl,235865,10558420,44.76467470798974
fl-506,tallahassee/leon county coc,fl,429121,11471029,26.731455696645003
fl-507,"orlando/orange, osceola, seminole counties coc",fl,1837359,81408200,44.30718221098871
fl-508,"gainesville/alachua, putnam counties coc",fl,407960,21141750,51.82309540150995
fl-509,"fort pierce/st. lucie, indian river, martin counties coc",fl,562135,24327950,43.27777135385628
fl-510,"jacksonville-duval, clay counties coc",fl,1128442,65020790,57.61996628980488
fl-511,"pensacola/escambia, santa rosa counties coc",fl,448991,26691094,59.44683523723193
fl-512,st. johns county coc,fl,190039,6591610,34.68556454201506
fl-513,"palm bay, melbourne/brevard county coc",fl,543376,30877730,56.825715526633495
fl-514,ocala/marion county coc,fl,331298,16792891,50.68817499652881
fl-515,"panama city/bay, jackson counties coc",fl,293909,15310549,52.0928212473929
fl-517,"hendry, hardee, highlands counties coc",fl,253399,9761130,38.520791321197
fl-518,"columbia, hamilton, lafayette, suwannee counties coc",fl,132751,6385960,48.104797703972096
fl-519,pasco county coc,fl,464697,35324080,76.0152959885689
fl-520,"citrus, hernando, lake, sumter counties coc",fl,704486,39807050,56.50509733337497
fl-600,miami-dade county coc,fl,2496435,39548597,15.84202953411565
fl-601,ft lauderdale/broward county coc,fl,1748066,93728402,53.61834278568429
fl-602,punta gorda/charlotte county coc,fl,159978,10420000,65.13395591893885
fl-603,"ft myers, cape coral/lee county coc",fl,618754,31598228,51.067513098905216
fl-604,monroe county coc,fl,73070,4983950,68.20788285205967
fl-605,west palm beach/palm beach county coc,fl,1320134,63554160,48.14220374598336
fl-606,naples/collier county coc,fl,321520,11922340,37.08117690967902
ga-500,atlanta coc,ga,417912,9225380,22.07493443595781
ga-501,georgia balance of state coc,ga,6636200,274113273.4,41.30575832554775
ga-502,fulton county coc,ga,534570,8718720,16.309781693697737
ga-503,athens-clarke county coc,ga,116714,5394468,46.21954521308498
ga-504,augusta-richmond county coc,ga,200549,8156554,40.671127754314405
ga-505,columbus-muscogee/russell county coc,ga,242832,10892910,44.85780292547934
ga-506,marietta/cobb county coc,ga,688078,19967420,29.019122832004513
ga-507,savannah/chatham county coc,ga,265128,8835930,33.32703448900154
ga-508,dekalb county coc,ga,663625,10826240,16.313791674514974
hi-500,hawaii balance of state coc,hi,407004,17940580,44.07961592515061
hi-501,honolulu city and county coc,hi,953207,15456660,16.21542854804885
ia-500,"sioux city/dakota, woodbury counties coc",ia,123178,2607860,21.171475425806555
